epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3086.57,2.93969,2.06018,1.45221,0.25084,0.13624,0.1361,0.04864,2.86033,2.49297,1.58245,0.00066335,0.00066335,0.00066335
2,6586.53,2.71692,1.59384,1.3362,0.34677,0.22607,0.23505,0.0806,2.73905,1.61075,1.41731,0.00119834,0.00119834,0.00119834
3,9515.01,2.6509,1.53447,1.32231,0.4412,0.24085,0.26757,0.09323,2.64141,1.53911,1.32593,0.00160134,0.00160134,0.00160134
4,12268.6,2.59958,1.51871,1.31087,0.44982,0.25363,0.28619,0.10005,2.62313,1.49105,1.32382,0.001406,0.001406,0.001406
5,14940.4,2.59011,1.47174,1.29315,0.42924,0.2601,0.29514,0.10701,2.52086,1.45764,1.29432,0.001208,0.001208,0.001208
6,17894.8,2.52862,1.43009,1.27732,0.42204,0.26873,0.29014,0.10017,2.6275,1.45094,1.29686,0.00101,0.00101,0.00101
7,20851.6,2.4862,1.39143,1.26252,0.50602,0.29601,0.3415,0.12599,2.47702,1.36241,1.26964,0.000812,0.000812,0.000812
8,44246.5,2.47801,1.37736,1.25957,0.51387,0.28986,0.34642,0.13164,2.427,1.33376,1.25183,0.000614,0.000614,0.000614
9,46851.2,2.44325,1.3458,1.24838,0.53789,0.29597,0.35383,0.1322,2.4443,1.31965,1.24316,0.000416,0.000416,0.000416
10,49432.1,2.43334,1.32611,1.23915,0.54439,0.31187,0.37159,0.13961,2.4039,1.29296,1.22743,0.000218,0.000218,0.000218
